  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0012 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   0.400   0.0466   0.00576   0.00160  -0.0002   0.7116   0.7374
   0.500   0.0581   0.00577   0.00159  -0.0002   0.7076   0.7398
   0.600   0.0697   0.00579   0.00160  -0.0003   0.7039   0.7419
   0.700   0.0816   0.00578   0.00160  -0.0004   0.7008   0.7439
   0.800   0.0935   0.00578   0.00160  -0.0005   0.6968   0.7460
   0.900   0.1052   0.00580   0.00160  -0.0005   0.6926   0.7480
   1.000   0.1167   0.00579   0.00159  -0.0005   0.6880   0.7512
   1.100   0.1282   0.00579   0.00160  -0.0006   0.6839   0.7543
   1.200   0.1399   0.00578   0.00161  -0.0006   0.6799   0.7571
   1.300   0.1516   0.00577   0.00161  -0.0007   0.6746   0.7594
   1.400   0.1632   0.00579   0.00161  -0.0007   0.6684   0.7613
   1.500   0.1749   0.00580   0.00161  -0.0008   0.6621   0.7630
   1.600   0.1866   0.00581   0.00161  -0.0009   0.6536   0.7647
   1.700   0.1982   0.00583   0.00161  -0.0009   0.6441   0.7663
   1.800   0.2097   0.00587   0.00160  -0.0010   0.6296   0.7680
   2.000   0.2314   0.00609   0.00159  -0.0008   0.5616   0.7721
   2.100   0.2414   0.00634   0.00165  -0.0007   0.5088   0.7742
   2.200   0.2515   0.00659   0.00173  -0.0006   0.4572   0.7762
   2.300   0.2618   0.00682   0.00180  -0.0006   0.4145   0.7782
   2.400   0.2723   0.00703   0.00188  -0.0005   0.3764   0.7801
   2.500   0.2829   0.00723   0.00195  -0.0005   0.3411   0.7821
   2.600   0.2934   0.00745   0.00202  -0.0005   0.3044   0.7839
   2.700   0.3040   0.00764   0.00209  -0.0005   0.2757   0.7856
   2.800   0.3148   0.00781   0.00215  -0.0005   0.2481   0.7872
   2.900   0.3257   0.00797   0.00221  -0.0005   0.2244   0.7887
   3.100   0.3474   0.00824   0.00233  -0.0006   0.1844   0.7921
   3.200   0.3582   0.00837   0.00239  -0.0006   0.1673   0.7942
   3.300   0.3690   0.00848   0.00246  -0.0005   0.1540   0.7962
   3.400   0.3800   0.00858   0.00252  -0.0005   0.1412   0.7982
   3.500   0.3909   0.00869   0.00258  -0.0005   0.1298   0.8004
   3.600   0.4019   0.00879   0.00264  -0.0005   0.1209   0.8025
   3.700   0.4130   0.00888   0.00271  -0.0006   0.1129   0.8046
   3.800   0.4240   0.00899   0.00277  -0.0006   0.1047   0.8066
   3.900   0.4350   0.00909   0.00284  -0.0006   0.0972   0.8084
   4.000   0.4461   0.00919   0.00290  -0.0006   0.0907   0.8102
   4.200   0.4681   0.00936   0.00304  -0.0006   0.0813   0.8149
   4.300   0.4791   0.00943   0.00311  -0.0006   0.0781   0.8174
   4.400   0.4900   0.00952   0.00319  -0.0005   0.0750   0.8200
   4.500   0.5011   0.00958   0.00326  -0.0005   0.0729   0.8227
   4.600   0.5122   0.00966   0.00333  -0.0005   0.0708   0.8256
   4.700   0.5231   0.00975   0.00341  -0.0005   0.0686   0.8285
   4.800   0.5342   0.00983   0.00349  -0.0005   0.0669   0.8312
   4.900   0.5451   0.00989   0.00356  -0.0005   0.0652   0.8347
   5.000   0.5559   0.00996   0.00364  -0.0004   0.0636   0.8384
   5.100   0.5665   0.01006   0.00374  -0.0003   0.0618   0.8425
   5.200   0.5775   0.01012   0.00381  -0.0003   0.0607   0.8466
   5.300   0.5885   0.01018   0.00388  -0.0003   0.0595   0.8509
   5.400   0.5993   0.01025   0.00396  -0.0002   0.0582   0.8555
   5.500   0.6097   0.01032   0.00405  -0.0001   0.0571   0.8607
   5.600   0.6200   0.01044   0.00418   0.0001   0.0558   0.8665
   5.700   0.6310   0.01049   0.00425   0.0001   0.0551   0.8722
   5.800   0.6415   0.01053   0.00433   0.0003   0.0541   0.8784
   5.900   0.6519   0.01058   0.00440   0.0004   0.0532   0.8855
   6.000   0.6623   0.01066   0.00449   0.0006   0.0522   0.8927
   6.100   0.6722   0.01074   0.00459   0.0008   0.0513   0.9003
   6.200   0.6819   0.01084   0.00471   0.0011   0.0504   0.9090
   6.300   0.6920   0.01089   0.00479   0.0014   0.0497   0.9173
   6.400   0.7017   0.01093   0.00488   0.0017   0.0490   0.9266
   6.500   0.7116   0.01099   0.00496   0.0020   0.0482   0.9357
   6.600   0.7212   0.01106   0.00504   0.0024   0.0474   0.9453
   6.700   0.7313   0.01115   0.00514   0.0026   0.0466   0.9544
   6.800   0.7418   0.01130   0.00528   0.0027   0.0456   0.9626
   6.900   0.7533   0.01136   0.00536   0.0027   0.0450   0.9705
   7.000   0.7664   0.01144   0.00545   0.0022   0.0442   0.9760
   7.100   0.7796   0.01152   0.00554   0.0017   0.0433   0.9815
   7.200   0.7922   0.01163   0.00564   0.0013   0.0424   0.9869
   7.300   0.8054   0.01177   0.00576   0.0008   0.0415   0.9906
   7.400   0.8193   0.01190   0.00590   0.0001   0.0406   0.9935
   7.500   0.8333   0.01199   0.00600  -0.0006   0.0398   0.9965
   7.600   0.8470   0.01209   0.00610  -0.0012   0.0389   0.9992
   7.700   0.8580   0.01219   0.00619  -0.0013   0.0381   1.0000
   7.800   0.8676   0.01232   0.00630  -0.0011   0.0373   1.0000
   7.900   0.8773   0.01245   0.00643  -0.0008   0.0365   1.0000
   8.000   0.8875   0.01253   0.00652  -0.0007   0.0357   1.0000
