  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64(4)-221                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -1.700  -0.0316   0.00773   0.00229  -0.0341   0.5643   0.5284
  -1.600  -0.0198   0.00771   0.00228  -0.0343   0.5630   0.5296
  -1.500  -0.0081   0.00771   0.00227  -0.0345   0.5618   0.5308
  -1.400   0.0037   0.00771   0.00227  -0.0346   0.5605   0.5319
  -1.300   0.0155   0.00771   0.00227  -0.0348   0.5592   0.5329
  -1.200   0.0272   0.00773   0.00227  -0.0349   0.5579   0.5339
  -1.100   0.0390   0.00774   0.00227  -0.0351   0.5564   0.5348
  -1.000   0.0507   0.00777   0.00228  -0.0352   0.5548   0.5356
  -0.900   0.0626   0.00777   0.00228  -0.0354   0.5539   0.5364
  -0.800   0.0746   0.00776   0.00228  -0.0356   0.5532   0.5372
  -0.700   0.0866   0.00776   0.00228  -0.0358   0.5524   0.5379
  -0.600   0.0986   0.00776   0.00228  -0.0360   0.5516   0.5387
  -0.500   0.1106   0.00776   0.00228  -0.0362   0.5507   0.5394
  -0.400   0.1226   0.00776   0.00227  -0.0364   0.5498   0.5401
  -0.300   0.1345   0.00776   0.00227  -0.0366   0.5489   0.5408
  -0.200   0.1465   0.00776   0.00228  -0.0368   0.5480   0.5415
  -0.100   0.1584   0.00777   0.00228  -0.0370   0.5471   0.5422
   0.000   0.1704   0.00778   0.00228  -0.0372   0.5462   0.5428
   0.100   0.1823   0.00779   0.00228  -0.0374   0.5452   0.5434
   0.200   0.1942   0.00780   0.00229  -0.0376   0.5443   0.5439
   0.300   0.2060   0.00779   0.00228  -0.0377   0.5434   0.5453
   0.400   0.2177   0.00778   0.00228  -0.0379   0.5424   0.5467
   0.500   0.2294   0.00778   0.00228  -0.0380   0.5414   0.5480
   0.600   0.2411   0.00779   0.00229  -0.0382   0.5404   0.5491
   0.700   0.2528   0.00780   0.00230  -0.0383   0.5393   0.5502
   0.800   0.2645   0.00782   0.00232  -0.0385   0.5381   0.5513
   0.900   0.2762   0.00785   0.00234  -0.0387   0.5368   0.5523
   1.000   0.2880   0.00788   0.00237  -0.0388   0.5357   0.5533
   1.100   0.2999   0.00788   0.00238  -0.0390   0.5352   0.5544
   1.200   0.3119   0.00788   0.00239  -0.0392   0.5347   0.5554
   1.300   0.3238   0.00788   0.00240  -0.0394   0.5342   0.5564
   1.400   0.3358   0.00789   0.00242  -0.0396   0.5336   0.5575
   1.500   0.3477   0.00790   0.00243  -0.0398   0.5329   0.5585
   1.600   0.3596   0.00791   0.00245  -0.0400   0.5322   0.5595
   1.700   0.3715   0.00792   0.00246  -0.0402   0.5314   0.5604
   1.800   0.3834   0.00793   0.00247  -0.0403   0.5305   0.5613
   1.900   0.3954   0.00794   0.00249  -0.0405   0.5297   0.5622
   2.000   0.4073   0.00795   0.00250  -0.0407   0.5287   0.5630
   2.100   0.4190   0.00794   0.00250  -0.0409   0.5277   0.5645
   2.200   0.4307   0.00794   0.00251  -0.0410   0.5268   0.5662
   2.300   0.4425   0.00794   0.00253  -0.0412   0.5258   0.5677
   2.400   0.4542   0.00794   0.00255  -0.0413   0.5248   0.5691
   2.500   0.4659   0.00796   0.00257  -0.0415   0.5239   0.5705
   2.600   0.4776   0.00797   0.00259  -0.0417   0.5231   0.5719
   2.700   0.4893   0.00799   0.00261  -0.0418   0.5222   0.5733
   2.800   0.5010   0.00802   0.00264  -0.0420   0.5213   0.5747
   2.900   0.5127   0.00805   0.00267  -0.0421   0.5202   0.5760
   3.000   0.5244   0.00809   0.00271  -0.0423   0.5192   0.5774
   3.100   0.5361   0.00814   0.00275  -0.0424   0.5180   0.5787
   3.200   0.5479   0.00818   0.00279  -0.0426   0.5173   0.5800
   3.300   0.5598   0.00819   0.00281  -0.0428   0.5168   0.5811
   3.400   0.5717   0.00820   0.00284  -0.0430   0.5163   0.5822
   3.500   0.5834   0.00820   0.00286  -0.0432   0.5157   0.5839
   3.600   0.5951   0.00820   0.00288  -0.0433   0.5151   0.5859
   3.700   0.6069   0.00819   0.00291  -0.0435   0.5142   0.5877
   3.800   0.6185   0.00819   0.00293  -0.0436   0.5130   0.5894
   3.900   0.6302   0.00819   0.00294  -0.0438   0.5115   0.5911
   4.000   0.6418   0.00818   0.00296  -0.0439   0.5098   0.5928
   4.100   0.6534   0.00818   0.00297  -0.0440   0.5079   0.5946
   4.200   0.6649   0.00820   0.00298  -0.0441   0.5059   0.5963
   4.300   0.6763   0.00822   0.00300  -0.0442   0.5040   0.5979
   4.400   0.6876   0.00827   0.00303  -0.0443   0.5019   0.5994
   4.500   0.6988   0.00834   0.00308  -0.0444   0.4993   0.6008
   4.700   0.7221   0.00830   0.00310  -0.0446   0.4960   0.6045
   4.800   0.7336   0.00829   0.00312  -0.0448   0.4939   0.6068
   4.900   0.7451   0.00828   0.00314  -0.0449   0.4919   0.6088
   5.000   0.7566   0.00830   0.00317  -0.0450   0.4903   0.6109
   5.100   0.7680   0.00831   0.00320  -0.0451   0.4888   0.6129
   5.200   0.7794   0.00834   0.00323  -0.0452   0.4872   0.6150
   5.300   0.7906   0.00838   0.00327  -0.0453   0.4855   0.6170
   5.400   0.8016   0.00843   0.00331  -0.0453   0.4835   0.6188
   5.500   0.8127   0.00849   0.00336  -0.0454   0.4813   0.6204
   5.700   0.8359   0.00847   0.00341  -0.0456   0.4778   0.6245
   5.800   0.8474   0.00847   0.00344  -0.0457   0.4757   0.6268
   5.900   0.8586   0.00848   0.00347  -0.0458   0.4728   0.6290
   6.000   0.8695   0.00851   0.00350  -0.0458   0.4697   0.6311
   6.100   0.8801   0.00855   0.00354  -0.0458   0.4665   0.6333
   6.200   0.8906   0.00862   0.00360  -0.0458   0.4633   0.6355
   6.300   0.9023   0.00862   0.00363  -0.0459   0.4609   0.6375
   6.400   0.9137   0.00864   0.00366  -0.0460   0.4583   0.6395
   6.500   0.9249   0.00867   0.00371  -0.0461   0.4555   0.6412
   6.600   0.9358   0.00870   0.00375  -0.0461   0.4524   0.6435
   6.700   0.9462   0.00874   0.00380  -0.0460   0.4489   0.6459
   6.800   0.9564   0.00880   0.00386  -0.0460   0.4455   0.6483
   6.900   0.9678   0.00881   0.00390  -0.0461   0.4423   0.6507
   7.000   0.9786   0.00885   0.00395  -0.0461   0.4367   0.6530
   7.100   0.9884   0.00892   0.00401  -0.0459   0.4307   0.6553
   7.200   0.9988   0.00898   0.00407  -0.0458   0.4250   0.6576
   7.300   1.0085   0.00906   0.00413  -0.0457   0.4156   0.6596
   7.400   1.0172   0.00919   0.00421  -0.0453   0.4032   0.6614
   7.500   1.0235   0.00940   0.00434  -0.0446   0.3845   0.6639
   7.600   1.0283   0.00967   0.00453  -0.0437   0.3658   0.6664
   7.700   1.0325   0.00997   0.00474  -0.0427   0.3484   0.6689
   7.800   1.0374   0.01023   0.00494  -0.0418   0.3334   0.6714
   7.900   1.0407   0.01054   0.00518  -0.0406   0.3161   0.6738
   8.000   1.0438   0.01085   0.00541  -0.0394   0.2999   0.6762
